"word","test_language","frequency"
"blanco","Spanish",2.640342444156728
"boca","Spanish",4.726702274831476
"bocadillo","Spanish",3.9075141725597415
"bola","Spanish",2.3393124484927466
"boli","Spanish",3.830674142327019
"botella","Spanish",4.29835384081384
"bottle","Spanish",2.816433703212409
"bowl","Spanish",3.0382824528287653
"brazo","Spanish",4.712224451462853
"bueno","Spanish",2.640342444156728
"buho","Spanish",4.524003879310346
"bunny","Spanish",3.0382824528287653
"burro","Spanish",4.25839054086882
"caballo","Spanish",5.16473856626057
"caja","Spanish",4.7658237098573215
"cama","Spanish",5.217834243993953
"camiseta","Spanish",4.28870245513766
"caracol","Spanish",4.1844104885070035
"carlos","Spanish",2.3393124484927466
"casa","Spanish",5.732536564854044
"casã¡","Spanish",2.816433703212409
"cebra","Spanish",3.515403707548428
"cepillo","Spanish",3.9925249622680905
"cerdo","Spanish",3.9625617388906473
"cesta","Spanish",3.941372439820709
"chair","Spanish",2.3393124484927466
"cheese","Spanish",2.640342444156728
"chicken","Spanish",2.3393124484927466
"chips","Spanish",2.3393124484927466
"chocolate","Spanish",4.518289395785916
"cielo","Spanish",4.418493694540372
"coche","Spanish",5.337135529238472
"cole","Spanish",2.3393124484927466
"corona","Spanish",3.4532558007995835
"cotxe","Spanish",2.640342444156728
"crema","Spanish",2.3393124484927466
"cuadro","Spanish",2.640342444156728
"cuando","Spanish",2.3393124484927466
"cuatro","Spanish",2.941372439820709
"cubo","Spanish",4.002070280174321
"cuchara","Spanish",4.24240243548469
"cuento","Spanish",2.816433703212409
"cumpleaã±os","Spanish",2.3393124484927466
"dan","Spanish",2.3393124484927466
"duele","Spanish",2.3393124484927466
"enla","Spanish",2.3393124484927466
"fish","Spanish",2.3393124484927466
"flor","Spanish",4.446522418140615
"flower","Spanish",2.3393124484927466
"fonso","Spanish",2.3393124484927466
"frog","Spanish",3.7195236902043525
"gafas","Spanish",4.110164460134891
"galleta","Spanish",4.0114103064284645
"gallina","Spanish",4.138652997946329
"gatã³","Spanish",2.3393124484927466
"gato","Spanish",5.246185983214817
"globo","Spanish",4.80913446447091
"gorro","Spanish",4.786470479834966
"gos","Spanish",2.941372439820709
"got","Spanish",2.3393124484927466
"grifo","Spanish",2.941372439820709
"guitarra","Spanish",3.9625617388906473
"gusano","Spanish",3.737252457164784
"hala","Spanish",2.3393124484927466
"hoja","Spanish",4.368696226177956
"hormiga","Spanish",3.5945849535960526
"lã¡piz","Spanish",4.352149673197919
"ladrillo","Spanish",3.3393124484927466
"lapiz","Spanish",3.4532558007995835
"lasdos","Spanish",2.3393124484927466
"leche","Spanish",4.998277291157182
"lengua","Spanish",4.1844104885070035
"librã³","Spanish",2.3393124484927466
"libro","Spanish",4.456583744148511
"loro","Spanish",3.941372439820709
"luna","Spanish",4.596991023361931
"mã³no","Spanish",2.3393124484927466
"maã±ã³","Spanish",2.3393124484927466
"macarrã³n","Spanish",2.816433703212409
"malo","Spanish",3.515403707548428
"mano","Spanish",4.983751037960586
"manzana","Spanish",4.3885304711629285
"mariposa","Spanish",4.046882624590683
"martillo","Spanish",4.138652997946329
"mesa","Spanish",5.0048934395107
"mico","Spanish",2.941372439820709
"moã±o","Spanish",3.0382824528287653
"mon","Spanish",3.2424024354846903
"moneda","Spanish",3.5945849535960526
"monkey","Spanish",2.640342444156728
"mono","Spanish",4.521156036437519
"moto","Spanish",4.572308558884901
"mouse","Spanish",3.1174636988763904
"nemo","Spanish",2.3393124484927466
"nose","Spanish",2.941372439820709
"ojo","Spanish",4.7526122125739985
"ola","Spanish",3.8833804928430222
"ombligo","Spanish",4.584825116306896
"oreja","Spanish",3.9190960451095567
"osito","Spanish",4.429217559932145
"oveja","Spanish",4.577358551621542
"pa","Spanish",4.968722047595465
"pã¡","Spanish",3.0382824528287653
"pã¡jaro","Spanish",3.1174636988763904
"pã¡to","Spanish",3.1174636988763904
"pã©z","Spanish",2.3393124484927466
"pã³ma","Spanish",3.0382824528287653
"pan","Spanish",4.957360545204839
"pantalã³n","Spanish",4.24240243548469
"papã¡","Spanish",2.640342444156728
"para","Spanish",2.941372439820709
"pastel","Spanish",4.368696226177956
"patã³","Spanish",2.816433703212409
"patata","Spanish",4.095187304165238
"patio","Spanish",2.3393124484927466
"pato","Spanish",4.80913446447091
"payaso","Spanish",2.640342444156728
"peas","Spanish",2.3393124484927466
"pelota","Spanish",5.063588318093536
"pencil","Spanish",2.3393124484927466
"peras","Spanish",2.3393124484927466
"perro","Spanish",5.910205484711138
"pez","Spanish",4.587285714854553
"piã©","Spanish",3.0382824528287653
"pie","Spanish",4.827863164993191
"pierna","Spanish",4.312440302092446
"pies","Spanish",2.3393124484927466
"pieza","Spanish",3.1174636988763904
"pig","Spanish",2.3393124484927466
"pilota","Spanish",2.816433703212409
"plã¡tano","Spanish",2.640342444156728
"plane","Spanish",2.3393124484927466
"planta","Spanish",3.9190960451095567
"platã³","Spanish",2.3393124484927466
"plato","Spanish",4.4791915348939835
"pluma","Spanish",4.633778674654339
"poma","Spanish",3.3393124484927466
"porta","Spanish",3.2935549579320713
"puerta","Spanish",5.1094277432798485
"quã©so","Spanish",2.640342444156728
"quema","Spanish",2.3393124484927466
"queso","Spanish",4.303100275838302
"rato","Spanish",2.3393124484927466
"rojo","Spanish",2.640342444156728
"sã¡ndwich","Spanish",3.844462426812653
"salta","Spanish",2.3393124484927466
"sandwich","Spanish",3.640342444156728
"sãºn","Spanish",2.3393124484927466
"star","Spanish",2.941372439820709
"tã©le","Spanish",2.640342444156728
"tã³mate","Spanish",2.3393124484927466
"table","Spanish",2.3393124484927466
"tambor","Spanish",4.629347059855265
"tele","Spanish",4.396217299829219
"tenedã³r","Spanish",2.3393124484927466
"tenedor","Spanish",3.844462426812653
"tigre","Spanish",4.055315792127546
"tijeras","Spanish",3.7195236902043525
"todo","Spanish",2.640342444156728
"toma","Spanish",3.1844104885070035
"tomate","Spanish",4.574840895400295
"toro","Spanish",4.403770437719665
"tree","Spanish",3.2935549579320713
"tren","Spanish",4.56202891964033
"va","Spanish",2.3393124484927466
"vaca","Spanish",5.054479806341204
"vale","Spanish",2.3393124484927466
"vamos","Spanish",2.3393124484927466
"vaso","Spanish",4.604130271502283
"ventana","Spanish",5.043462965332546
"yano","Spanish",2.3393124484927466
"zanahoria","Spanish",4.253126300876463
"zapato","Spanish",4.611154055029246
"zapatos","Spanish",2.3393124484927466
"zumo","Spanish",3.418493694540371
