,55878,54960,54993,54912,54788,54875,58286_3,58136,57983_2,58761,57943_2,58308,57717,57670_3,57566_2,58109,58523,58128,58079,57983,58173,58096,57592_2,57709_3,57943,58551,58286,58406,57559_3,57902,58190,57097_3,57642_2,57340_2,57710_2,57709_2,57658_2,57159_3,57374_2,57670_2,57597_2,57595_2,57111_3,57559_2,57707_2,57436_3,57062_3,57059_3,58347_2,57592,57710,57709,57658,57670,57595,57222_2,57707,57165_2,57642,57559,57566
spa_gorrion,,,,,,,1,,,,,,,1,,,,,,,,,1,1,,,,,1,,,,1,,,,,,,1,,,1,,,,1,,,,,,,,,,1,,,,
spa_gusano,,,,1,,1,,1,1,,,,,1,1,,,,,1,,,1,1,,,,,1,1,,,1,,,,1,1,1,1,,,1,1,1,1,1,1,1,,1,,,,,1,,,1,1,
spa_guitarra,,1,,1,1,1,,1,1,,,1,,1,1,1,,,,1,1,,1,1,,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,,1,1,1,1,1,1,,1,1,,1,1,,1,1,
spa_mariposa,1,1,1,1,,1,,1,1,1,,1,1,1,1,,,,,1,1,1,1,1,,1,,,1,1,,1,1,,1,1,1,1,1,1,,1,1,1,,,1,1,1,,1,,1,1,,1,,,1,1,1
spa_muneca,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,,,1,1,1,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1,1,1,1,,1,,,1,1,1
spa_moneda,,1,1,,1,,,1,1,,,,,1,1,,,1,,1,,,1,1,,1,,,,,,,1,,1,1,1,1,,1,,,,,1,,1,1,1,,1,1,1,1,,1,,1,,,
spa_martillo,1,,,1,1,1,,,1,,,,,1,1,,,,,1,,,1,1,,1,,,,,1,,1,1,,1,1,1,,,1,,,,,,1,,1,1,1,,1,,,1,1,1,,,
spa_osito,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,1,1,,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,1,1,1,1
spa_hormiga,,,1,1,1,1,,1,1,1,,1,,1,1,,,1,,1,,,1,1,,1,,,1,1,,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,,,1,,1,1,,1
spa_ola,,,,,,,,1,1,,,,,1,,,,1,,,,,,1,,,,,1,1,,1,,1,,1,,1,,1,,1,1,,,1,1,1,1,,1,,1,1,,1,,,,,
spa_ombligo,,1,1,1,,1,,1,1,1,1,1,,1,1,1,,,,1,1,,,1,,1,,1,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,1,1,1,1,1,1,1,1,1,1
spa_pierna,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,,,,1,1,1,1,1,,1,,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1
spa_pie,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1
spa_platano,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
spa_puerta,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1
spa_tijeras,,1,1,,1,1,,1,1,,,1,,1,1,1,,1,,1,,,1,1,,1,,,1,1,,1,1,1,,,1,1,1,1,1,,1,,1,1,1,1,1,1,1,1,1,,,1,,,1,,
spa_toro,,,,,,,,,1,,,,,1,1,,,,,1,,,1,,,,,,1,1,,,1,,1,,1,1,,1,1,,,,,,1,1,1,,,,1,,,1,,,,1,
spa_tambor,1,1,1,1,1,1,,1,1,,1,,,1,1,1,,,,1,1,,1,1,,1,,,1,1,1,,1,1,1,1,1,1,,1,1,,1,,,1,1,1,1,1,1,1,1,,,1,1,,1,,
spa_tobogan,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
