SystemTimeStamp,meanX,meanY,meanValidity,lX,lY,lV,lPupil,lPupilV,rX,rY,rV,rPupil,rPupilV,participant,language,list,trialID,trial,trialType,phase,extra
107940968,0.49187234,0.481206506,1,0.491906255,0.457631588,1,3.353240967,1,0.491838425,0.504781425,1,3.358459473,1,1,spa,1,7,1,NA,prime,zapato
107940976,0.49495253,0.494901478,1,0.492746413,0.512526989,1,3.477203369,1,0.497158647,0.477275997,1,3.294967651,1,1,spa,1,7,1,NA,prime,zapato
107940984,0.488399953,0.518464863,1,0.484829873,0.485012025,1,3.412475586,1,0.491970032,0.551917672,1,3.437301636,1,1,spa,1,7,1,NA,prime,zapato
107940992,0.48225385,0.541491687,1,0.4782781,0.51201731,1,3.492080688,1,0.486229628,0.570966065,1,3.462249756,1,1,spa,1,7,1,NA,prime,zapato
107941000,0.485144496,0.517509937,1,0.481425643,0.494933307,1,3.497512817,1,0.488863319,0.540086627,1,3.416442871,1,1,spa,1,7,1,NA,prime,zapato
107941008,0.483776122,0.477035642,1,0.484135509,0.426397353,1,3.369522095,1,0.483416736,0.52767396,1,3.364776611,1,1,spa,1,7,1,NA,prime,zapato
107941016,0.482802838,0.483517587,1,0.483538598,0.414901823,1,3.325836182,1,0.482067078,0.552133322,1,3.397796631,1,1,spa,1,7,1,NA,prime,zapato
107941040,0.48439002,0.454999685,1,0.480554551,0.46850577,1,3.460769653,1,0.48822549,0.44149363,1,3.241500854,1,1,spa,1,7,1,NA,prime,zapato
107941048,0.482775301,0.518747211,1,0.486339062,0.475439519,1,3.477249146,1,0.479211539,0.562054932,1,3.410110474,1,1,spa,1,7,1,NA,prime,zapato
107941056,0.49005264,0.47435838,1,0.484947503,0.482455313,1,3.503250122,1,0.495157778,0.466261476,1,3.370666504,1,1,spa,1,7,1,NA,prime,zapato
107941064,0.483415842,0.532730937,1,0.483590007,0.504392445,1,3.542892456,1,0.483241647,0.561069489,1,3.447967529,1,1,spa,1,7,1,NA,prime,zapato
107941072,0.480480134,0.537725031,1,0.479956985,0.485393047,1,3.513473511,1,0.481003255,0.590057015,1,3.470230103,1,1,spa,1,7,1,NA,prime,zapato
107941080,0.484929562,0.503336966,1,0.483889282,0.510570168,1,3.570144653,1,0.485969812,0.496103793,1,3.397216797,1,1,spa,1,7,1,NA,prime,zapato
107941088,0.485559195,0.474071085,1,0.483314395,0.447976947,1,3.431838989,1,0.487803996,0.500165224,1,3.42666626,1,1,spa,1,7,1,NA,prime,zapato
107941096,0.486413032,0.514520764,1,0.484516501,0.474142939,1,3.497879028,1,0.488309562,0.55489862,1,3.43019104,1,1,spa,1,7,1,NA,prime,zapato
107941104,0.487346053,0.5015558,1,0.484177977,0.496097952,1,3.572860718,1,0.4905141,0.507013619,1,3.53288269,1,1,spa,1,7,1,NA,prime,zapato
107941112,0.486904502,0.500692606,1,0.482707858,0.511760175,1,3.595840454,1,0.491101116,0.489624977,1,3.418563843,1,1,spa,1,7,1,NA,prime,zapato
107941120,0.484974861,0.479046434,1,0.483607113,0.464298248,1,3.470306396,1,0.486342579,0.49379462,1,3.587158203,1,1,spa,1,7,1,NA,prime,zapato
107941128,0.490064472,0.497288942,1,0.487729371,0.518523395,1,3.6224823,1,0.492399573,0.476054519,1,3.485427856,1,1,spa,1,7,1,NA,prime,zapato
107941136,0.483491898,0.498767614,1,0.48010087,0.506534338,1,3.583328247,1,0.486882955,0.491000861,1,3.63722229,1,1,spa,1,7,1,NA,prime,zapato
107941144,0.485744476,0.49509275,1,0.480883598,0.479443282,1,3.526290894,1,0.490605354,0.510742247,1,3.587692261,1,1,spa,1,7,1,NA,prime,zapato
107941152,0.48274374,0.473851562,1,0.481725305,0.45705083,1,3.483322144,1,0.483762205,0.490652263,1,3.611404419,1,1,spa,1,7,1,NA,prime,zapato
107941160,0.48515299,0.498662949,1,0.480569303,0.495877773,1,3.567428589,1,0.489736676,0.501448095,1,3.611801147,1,1,spa,1,7,1,NA,prime,zapato
107941168,0.484637767,0.499430716,1,0.482129037,0.480060637,1,3.513961792,1,0.487146497,0.518800795,1,3.600708008,1,1,spa,1,7,1,NA,prime,zapato
107941176,0.486231148,0.50864625,1,0.481607258,0.513328612,1,3.574935913,1,0.490855008,0.503963888,1,3.649658203,1,1,spa,1,7,1,NA,prime,zapato
107941184,0.485329002,0.49791491,1,0.482775956,0.466607779,1,3.487197876,1,0.487882048,0.529222071,1,3.63722229,1,1,spa,1,7,1,NA,prime,zapato
107941192,0.486746371,0.516561866,1,0.482449204,0.504233181,1,3.571960449,1,0.491043568,0.528890491,1,3.679199219,1,1,spa,1,7,1,NA,prime,zapato
107941200,0.486273289,0.440873951,1,0.482983023,0.46994248,1,3.488739014,1,0.489563584,0.411805421,1,3.166671753,1,1,spa,1,7,1,NA,prime,zapato
107941208,0.48378998,0.438318461,1,0.484698743,0.46967724,1,3.493133545,1,0.482881188,0.406959683,1,3.139587402,1,1,spa,1,7,1,NA,prime,zapato
107941216,0.48869583,0.496617734,1,0.483280778,0.432443202,1,3.409896851,1,0.494110882,0.560792267,1,3.519744873,1,1,spa,1,7,1,NA,prime,zapato
107941224,0.487476528,0.504650116,1,0.478590995,0.510235608,1,3.591995239,1,0.49636206,0.499064684,1,3.625900269,1,1,spa,1,7,1,NA,prime,zapato
107941232,0.485060275,0.514414787,1,0.484311551,0.497821629,1,3.762023926,1,0.485809028,0.531007946,1,3.630401611,1,1,spa,1,7,1,NA,prime,zapato
