SystemTimeStamp,meanX,meanY,meanValidity,lX,lY,lV,lPupil,lPupilV,rX,rY,rV,rPupil,rPupilV,participant,baby_id,dataBirth,sex,testDate,language,list,trialID,trial,trialType,getter,phase,stimulus,locationTarget
602453760,0.488697261,0.449931681,1,0.482915908,0.477482051,1,3.432815552,1,0.494478613,0.422381341,1,3.063018799,1,4,51273,23/02/2017,female,2019-06-19_15-57,cat,2,8,1,2,7,prime,cadira,NA
602453760,0.491299033,0.403931469,1,0.493566394,0.372737825,1,3.197845459,1,0.489031672,0.435125113,1,3.097198486,1,4,51273,23/02/2017,female,2019-06-19_15-57,cat,2,8,1,2,7,prime,cadira,NA
602453760,0.482970059,0.404035836,1,0.480580419,0.393558115,1,3.320220947,1,0.485359728,0.414513558,1,3.070541382,1,4,51273,23/02/2017,female,2019-06-19_15-57,cat,2,8,1,2,7,prime,cadira,NA
602453760,0.48496744,0.393899143,1,0.482098609,0.419670999,1,3.367599487,1,0.487836272,0.368127316,1,2.983261108,1,4,51273,23/02/2017,female,2019-06-19_15-57,cat,2,8,1,2,7,prime,cadira,NA
602453760,0.484247684,0.431782067,1,0.478348881,0.501623809,1,3.493133545,1,0.490146458,0.361940295,1,2.967803955,1,4,51273,23/02/2017,female,2019-06-19_15-57,cat,2,8,1,2,7,prime,cadira,NA
602453824,0.479352593,0.442405701,1,0.479125321,0.475482434,1,3.454315186,1,0.479579896,0.409328997,1,3.0597229,1,4,51273,23/02/2017,female,2019-06-19_15-57,cat,2,8,1,2,7,prime,cadira,NA
602453824,0.493293494,0.460961401,1,0.484701097,0.498960555,1,3.478393555,1,0.501885891,0.422962219,1,3.082855225,1,4,51273,23/02/2017,female,2019-06-19_15-57,cat,2,8,1,2,7,prime,cadira,NA
602453824,0.493602604,0.446106374,1,0.487740695,0.465516835,1,3.43888855,1,0.499464512,0.426695883,1,3.097961426,1,4,51273,23/02/2017,female,2019-06-19_15-57,cat,2,8,1,2,7,prime,cadira,NA
602453824,0.496457815,0.445933163,1,0.487690538,0.49502176,1,3.479324341,1,0.505225122,0.396844596,1,3.022918701,1,4,51273,23/02/2017,female,2019-06-19_15-57,cat,2,8,1,2,7,prime,cadira,NA
602453824,0.492878616,0.42381531,1,0.486120999,0.435413063,1,3.399475098,1,0.499636263,0.412217587,1,3.073699951,1,4,51273,23/02/2017,female,2019-06-19_15-57,cat,2,8,1,2,7,prime,cadira,NA
602453824,0.489820004,0.491053939,1,0.492452592,0.51389569,1,3.537155151,1,0.487187415,0.468212217,1,3.194961548,1,4,51273,23/02/2017,female,2019-06-19_15-57,cat,2,8,1,2,7,prime,cadira,NA
602453824,0.491145998,0.446380973,1,0.485679805,0.462711215,1,3.433441162,1,0.496612191,0.430050761,1,3.098968506,1,4,51273,23/02/2017,female,2019-06-19_15-57,cat,2,8,1,2,7,prime,cadira,NA
602453824,0.492253244,0.443901241,1,0.487750411,0.404856473,1,3.357696533,1,0.496756107,0.482945979,1,3.192611694,1,4,51273,23/02/2017,female,2019-06-19_15-57,cat,2,8,1,2,7,prime,cadira,NA
602453888,0.490662694,0.453064024,1,0.484048426,0.503901839,1,3.520263672,1,0.497276932,0.40222621,1,3.060440063,1,4,51273,23/02/2017,female,2019-06-19_15-57,cat,2,8,1,2,7,prime,cadira,NA
602453888,0.492132366,0.437700748,1,0.487255186,0.480784893,1,3.47277832,1,0.497009546,0.394616604,1,3.030197144,1,4,51273,23/02/2017,female,2019-06-19_15-57,cat,2,8,1,2,7,prime,cadira,NA
602453888,0.496835172,0.457348347,1,0.489323288,0.501493871,1,3.5,1,0.504347026,0.413202822,1,3.08416748,1,4,51273,23/02/2017,female,2019-06-19_15-57,cat,2,8,1,2,7,prime,cadira,NA
602453888,0.491450012,0.425759435,1,0.483399272,0.465892255,1,3.468994141,1,0.499500751,0.385626614,1,3.081069946,1,4,51273,23/02/2017,female,2019-06-19_15-57,cat,2,8,1,2,7,prime,cadira,NA
602453888,0.490243644,0.442028582,1,0.488380104,0.466192186,1,3.496414185,1,0.492107183,0.417864978,1,3.13899231,1,4,51273,23/02/2017,female,2019-06-19_15-57,cat,2,8,1,2,7,prime,cadira,NA
602453888,0.490010738,0.428680658,1,0.48406297,0.48301208,1,3.51953125,1,0.495958537,0.374349207,1,2.985671997,1,4,51273,23/02/2017,female,2019-06-19_15-57,cat,2,8,1,2,7,prime,cadira,NA
602453888,0.495351851,0.394452691,1,0.487885982,0.411171615,1,3.417434692,1,0.50281769,0.377733737,1,3.032501221,1,4,51273,23/02/2017,female,2019-06-19_15-57,cat,2,8,1,2,7,prime,cadira,NA
602453888,0.491528094,0.416591048,1,0.483592421,0.443061799,1,3.450683594,1,0.499463797,0.390120298,1,3.067153931,1,4,51273,23/02/2017,female,2019-06-19_15-57,cat,2,8,1,2,7,prime,cadira,NA
602453952,0.489097297,0.433202684,1,0.487364203,0.475285769,1,3.518173218,1,0.490830362,0.39111957,1,3.054382324,1,4,51273,23/02/2017,female,2019-06-19_15-57,cat,2,8,1,2,7,prime,cadira,NA
602453952,0.495660603,0.416792035,1,0.491076201,0.440169275,1,3.45892334,1,0.500244975,0.393414766,1,3.053009033,1,4,51273,23/02/2017,female,2019-06-19_15-57,cat,2,8,1,2,7,prime,cadira,NA
602453952,0.493168175,0.435586631,1,0.488601953,0.473800629,1,3.513122559,1,0.497734398,0.397372633,1,3.071105957,1,4,51273,23/02/2017,female,2019-06-19_15-57,cat,2,8,1,2,7,prime,cadira,NA
602453952,0.495090187,0.466662943,1,0.492114216,0.505071104,1,3.551208496,1,0.498066187,0.428254813,1,3.153747559,1,4,51273,23/02/2017,female,2019-06-19_15-57,cat,2,8,1,2,7,prime,cadira,NA
602453952,0.49105075,0.40245834,1,0.486626267,0.41651842,1,3.417526245,1,0.495475233,0.38839826,1,3.07069397,1,4,51273,23/02/2017,female,2019-06-19_15-57,cat,2,8,1,2,7,prime,cadira,NA
602453952,0.4965927,0.454759419,1,0.489791274,0.508771122,1,3.579559326,1,0.503394127,0.400747716,1,3.104324341,1,4,51273,23/02/2017,female,2019-06-19_15-57,cat,2,8,1,2,7,prime,cadira,NA
602453952,0.4929277,0.420635849,1,0.491597086,0.45513314,1,3.517578125,1,0.494258314,0.386138558,1,3.056747437,1,4,51273,23/02/2017,female,2019-06-19_15-57,cat,2,8,1,2,7,prime,cadira,NA
602453952,0.487436652,0.446565479,1,0.483929724,0.501180112,1,3.575073242,1,0.490943551,0.391950846,1,3.097091675,1,4,51273,23/02/2017,female,2019-06-19_15-57,cat,2,8,1,2,7,prime,cadira,NA
602454016,0.496009588,0.427792519,1,0.490673453,0.434176117,1,3.475540161,1,0.501345754,0.421408921,1,3.145843506,1,4,51273,23/02/2017,female,2019-06-19_15-57,cat,2,8,1,2,7,prime,cadira,NA
602454016,0.488004982,0.451450944,1,0.484339535,0.466767579,1,3.534042358,1,0.49167043,0.436134309,1,3.211074829,1,4,51273,23/02/2017,female,2019-06-19_15-57,cat,2,8,1,2,7,prime,cadira,NA
602454016,0.491332412,0.465954423,1,0.493059218,0.465090364,1,3.53036499,1,0.489605635,0.466818511,1,3.27255249,1,4,51273,23/02/2017,female,2019-06-19_15-57,cat,2,8,1,2,7,prime,cadira,NA
602454016,0.484592617,0.443956554,1,0.47879687,0.486614376,1,3.563369751,1,0.490388334,0.401298702,1,3.094558716,1,4,51273,23/02/2017,female,2019-06-19_15-57,cat,2,8,1,2,7,prime,cadira,NA
602454016,0.489426255,0.410469055,1,0.479127139,0.458449125,1,3.51776123,1,0.499725401,0.362488985,1,3.08833313,1,4,51273,23/02/2017,female,2019-06-19_15-57,cat,2,8,1,2,7,prime,cadira,NA
602454016,0.496822655,0.447150528,1,0.489740998,0.485998839,1,3.580673218,1,0.503904283,0.408302248,1,3.163970947,1,4,51273,23/02/2017,female,2019-06-19_15-57,cat,2,8,1,2,7,prime,cadira,NA
602454016,0.500381708,0.400616378,1,0.489603966,0.44805333,1,3.566375732,1,0.51115942,0.353179425,1,3.092590332,1,4,51273,23/02/2017,female,2019-06-19_15-57,cat,2,8,1,2,7,prime,cadira,NA
602454080,0.499971449,0.348670065,1,0.494319469,0.336018384,1,3.381118774,1,0.50562346,0.361321777,1,3.150924683,1,4,51273,23/02/2017,female,2019-06-19_15-57,cat,2,8,1,2,7,prime,cadira,NA
602454080,0.495349228,0.352809429,1,0.485843927,0.327646583,1,3.380752563,1,0.50485456,0.377972245,1,3.17906189,1,4,51273,23/02/2017,female,2019-06-19_15-57,cat,2,8,1,2,7,prime,cadira,NA
602454080,0.494797349,0.37353009,1,0.489460498,0.407689571,1,3.524520874,1,0.50013417,0.339370638,1,3.100418091,1,4,51273,23/02/2017,female,2019-06-19_15-57,cat,2,8,1,2,7,prime,cadira,NA
602454080,0.496591389,0.334859997,1,0.487979263,0.333277196,1,3.411636353,1,0.505203545,0.336442798,1,3.097930908,1,4,51273,23/02/2017,female,2019-06-19_15-57,cat,2,8,1,2,7,prime,cadira,NA
602454080,0.494178474,0.387081623,1,0.487333596,0.4100658,1,3.541702271,1,0.501023352,0.364097446,1,3.178039551,1,4,51273,23/02/2017,female,2019-06-19_15-57,cat,2,8,1,2,7,prime,cadira,NA
602454080,0.496399581,0.37443006,1,0.492395788,0.369017929,1,3.476928711,1,0.500403345,0.379842162,1,3.186355591,1,4,51273,23/02/2017,female,2019-06-19_15-57,cat,2,8,1,2,7,prime,cadira,NA
602454080,0.494164705,0.357263118,1,0.4899894,0.367546767,1,3.5,1,0.498339981,0.346979469,1,3.123184204,1,4,51273,23/02/2017,female,2019-06-19_15-57,cat,2,8,1,2,7,prime,cadira,NA
602454080,0.501098156,0.362526894,1,0.492451966,0.359444857,1,3.482498169,1,0.509744406,0.36560896,1,3.150497437,1,4,51273,23/02/2017,female,2019-06-19_15-57,cat,2,8,1,2,7,prime,cadira,NA
602454144,0.500861645,0.309658349,1,0.494091362,0.30155319,1,3.366027832,1,0.507631958,0.317763478,1,3.061599731,1,4,51273,23/02/2017,female,2019-06-19_15-57,cat,2,8,1,2,7,prime,cadira,NA
602454144,0.495953351,0.380427748,1,0.492049813,0.377074987,1,3.463119507,1,0.499856889,0.383780509,1,3.180709839,1,4,51273,23/02/2017,female,2019-06-19_15-57,cat,2,8,1,2,7,prime,cadira,NA
602454144,0.49911356,0.393351197,1,0.492356092,0.383662671,1,3.50718689,1,0.505871058,0.403039694,1,3.22543335,1,4,51273,23/02/2017,female,2019-06-19_15-57,cat,2,8,1,2,7,prime,cadira,NA
602454144,0.494436592,0.396565825,1,0.486024678,0.396933347,1,3.506591797,1,0.502848506,0.396198303,1,3.174346924,1,4,51273,23/02/2017,female,2019-06-19_15-57,cat,2,8,1,2,7,prime,cadira,NA
602454144,0.495491147,0.369320512,1,0.491111785,0.375163704,1,3.485061646,1,0.499870479,0.363477349,1,3.13053894,1,4,51273,23/02/2017,female,2019-06-19_15-57,cat,2,8,1,2,7,prime,cadira,NA
602454144,0.501183033,0.349578917,1,0.501971722,0.372625887,1,3.457046509,1,0.500394285,0.326531917,1,3.073577881,1,4,51273,23/02/2017,female,2019-06-19_15-57,cat,2,8,1,2,7,prime,cadira,NA
602454144,0.495966405,0.358415663,1,0.495837033,0.317328453,1,3.362243652,1,0.496095777,0.399502873,1,3.16607666,1,4,51273,23/02/2017,female,2019-06-19_15-57,cat,2,8,1,2,7,prime,cadira,NA
602454144,0.502048731,0.352002382,1,0.493461132,0.330912888,1,3.393264771,1,0.51063627,0.373091906,1,3.146209717,1,4,51273,23/02/2017,female,2019-06-19_15-57,cat,2,8,1,2,7,prime,cadira,NA
602454208,0.497816145,0.370838344,1,0.495611906,0.358041376,1,3.456237793,1,0.500020385,0.383635342,1,3.176345825,1,4,51273,23/02/2017,female,2019-06-19_15-57,cat,2,8,1,2,7,prime,cadira,NA
602454208,0.495459527,0.363390297,1,0.485850871,0.35562101,1,3.395431519,1,0.505068183,0.371159583,1,3.150924683,1,4,51273,23/02/2017,female,2019-06-19_15-57,cat,2,8,1,2,7,prime,cadira,NA
602454208,0.496565729,0.35078758,1,0.488811374,0.342087835,1,3.375152588,1,0.504320085,0.359487295,1,3.131988525,1,4,51273,23/02/2017,female,2019-06-19_15-57,cat,2,8,1,2,7,prime,cadira,NA
602454208,0.493769109,0.370462209,1,0.48750791,0.406517506,1,3.497817993,1,0.500030279,0.334406912,1,3.098175049,1,4,51273,23/02/2017,female,2019-06-19_15-57,cat,2,8,1,2,7,prime,cadira,NA
602454208,0.494930029,0.393857837,1,0.493243456,0.417902261,1,3.498687744,1,0.496616602,0.369813412,1,3.123046875,1,4,51273,23/02/2017,female,2019-06-19_15-57,cat,2,8,1,2,7,prime,cadira,NA
602454208,0.50088644,0.346913427,1,0.498679698,0.352040827,1,3.394485474,1,0.503093183,0.341786027,1,3.040100098,1,4,51273,23/02/2017,female,2019-06-19_15-57,cat,2,8,1,2,7,prime,cadira,NA
602454208,0.493679762,0.379318118,1,0.486842424,0.381153643,1,3.444458008,1,0.50051707,0.377482593,1,3.122940063,1,4,51273,23/02/2017,female,2019-06-19_15-57,cat,2,8,1,2,7,prime,cadira,NA
602454208,0.499237657,0.346250534,1,0.495960087,0.350763589,1,3.358413696,1,0.502515197,0.341737449,1,3.098236084,1,4,51273,23/02/2017,female,2019-06-19_15-57,cat,2,8,1,2,7,prime,cadira,NA
602454272,0.492792308,0.396675438,1,0.488511175,0.370943785,1,3.402023315,1,0.497073472,0.422407091,1,3.20552063,1,4,51273,23/02/2017,female,2019-06-19_15-57,cat,2,8,1,2,7,prime,cadira,NA
