SystemTimeStamp,meanX,meanY,meanValidity,lX,lY,lV,lPupil,lPupilV,rX,rY,rV,rPupil,rPupilV,language,list,numtrial_lista,trial,process,extra
107940912,0.4949405789375,0.5281990766525,1,0.4937708377838,0.5479544401169,1,3.51481628418,1,0.4961102902889,0.5084437131882,1,3.354537963867,1,spa,1,7,1,PRIMEIMAGE,zapato
107940920,0.4955358505249,0.5247390270233,1,0.4976924359798,0.544383764267,1,3.522842407227,1,0.4933792948723,0.505094230175,1,3.365936279297,1,spa,1,7,1,PRIMEIMAGE,zapato
107940928,0.4986466169357,0.5054557323456,1,0.5004661083221,0.5158863663673,1,3.453765869141,1,0.4968271553516,0.4950251281261,1,3.346328735352,1,spa,1,7,1,PRIMEIMAGE,zapato
107940936,0.4959351420403,0.5142183303833,1,0.4937902092934,0.5247991085052,1,3.483917236328,1,0.4980800449848,0.5036374926567,1,3.303405761719,1,spa,1,7,1,PRIMEIMAGE,zapato
107940944,0.4938824176788,0.4998382329941,1,0.4936394989491,0.5265707373619,1,3.498291015625,1,0.4941253066063,0.4731057286263,1,3.292831420898,1,spa,1,7,1,PRIMEIMAGE,zapato
107940952,0.4922257661819,0.5431232452393,1,0.4908850491047,0.5163453221321,1,3.455276489258,1,0.4935664534569,0.5699011087418,1,3.442581176758,1,spa,1,7,1,PRIMEIMAGE,zapato
107940960,0.4906412661076,0.5336256027222,1,0.4911440908909,0.5278621912003,1,3.495086669922,1,0.4901384413242,0.5393890738487,1,3.436370849609,1,spa,1,7,1,PRIMEIMAGE,zapato
107940968,0.4918723404408,0.4812065064907,1,0.4919062554836,0.4576315879822,1,3.353240966797,1,0.4918384253979,0.5047814249992,1,3.358459472656,1,spa,1,7,1,PRIMEIMAGE,zapato
107940976,0.4949525296688,0.4949014782906,1,0.4927464127541,0.5125269889832,1,3.477203369141,1,0.4971586465836,0.4772759974003,1,3.294967651367,1,spa,1,7,1,PRIMEIMAGE,zapato
107940984,0.4883999526501,0.5184648633003,1,0.4848298728466,0.485012024641,1,3.412475585938,1,0.4919700324535,0.5519176721573,1,3.437301635742,1,spa,1,7,1,PRIMEIMAGE,zapato
107940992,0.4822538495064,0.5414916872978,1,0.4782781004906,0.5120173096657,1,3.492080688477,1,0.4862296283245,0.57096606493,1,3.462249755859,1,spa,1,7,1,PRIMEIMAGE,zapato
