"participant","id_db","date_test","lp","doe_catalan","doe_spanish","doe_others","age_group","test_language","list","version","filename"
"cognatepriming121","57666",2021-10-18,"Monolingual",1,0,0,"25 months","Catalan",3,"ll","CognatePriming_121_2021-10-18.csv"
"cognatepriming81","57092",2021-10-19,"Monolingual",0.95,0.05,0,"30 months","Catalan",3,"ll","CognatePriming_081_2021-10-19.csv"
"cognatepriming78","57050",2021-10-20,"Monolingual",1,0,0,"30 months","Catalan",3,"ll","CognatePriming_078_2021-10-20_3.csv"
"cognatepriming124","57707",2021-10-22,"Bilingual",0.23,0.77,0,"25 months","Spanish",2,"latin","CognatePriming_124_2021-10-22.csv"
"cognatepriming115","57559",2021-10-23,"Monolingual",0.17,0.83,0,"25 months","Spanish",2,"euro","CognatePriming_115_2021-10-23.csv"
"cognatepriming83","57111",2021-10-23,"Monolingual",0.1,0.9,0,"30 months","Spanish",2,"euro","CognatePriming_083_2021-10-23.csv"
"cognatepriming126","57595",2021-10-23,"Bilingual",0.34,0.66,0,"25 months","Spanish",1,"euro","CognatePriming_126_2021-10-23_3.csv"
"cognatepriming123","57597",2021-10-23,"Bilingual",0.44,0.56,0,"25 months","Spanish",3,"euro","CognatePriming_123_2021-10-23.csv"
"cognatepriming127","57670",2021-10-25,"Monolingual",0.16,0.84,0,"25 months","Spanish",2,"euro","CognatePriming_127_2021-10-25.csv"
"cognatepriming120","57569",2021-10-28,"Bilingual",0.75,0.25,0,"25 months","Catalan",2,"ll","CognatePriming_120_2021-10-28.csv"
"cognatepriming128","57742",2021-11-02,"Bilingual",0.76,0.22,0.02,"25 months","Catalan",3,"ll","CognatePriming_128_2021-11-02.csv"
"cognatepriming97","57374",2021-11-03,"Monolingual",0.01,0.98,0,"30 months","Spanish",3,"euro","CognatePriming_097_2021-11-03_2.csv"
"cognatepriming86","57159",2021-11-05,"Bilingual",0.43,0.57,0,"30 months","Spanish",3,"euro","CognatePriming_086_2021-11-05.csv"
"cognatepriming129","58049",2021-11-06,"Monolingual",1,0,0,"25 months","Catalan",3,"ll","CognatePriming_129_2021-11-06_2.csv"
"cognatepriming130","57658",2021-11-06,"Monolingual",0.11,0.89,0,"25 months","Spanish",1,"euro","CognatePriming_130_2021-11-06.csv"
"cognatepriming100","57274",2021-11-09,"Bilingual",0.68,0.32,0,"30 months","Catalan",3,"ll","CognatePriming_100_2021-11-09.csv"
"cognatepriming102","57839",2021-11-12,"Monolingual",1,0,0,"30 months","Catalan",1,"ll","CognatePriming_102_2021-11-12.csv"
"cognatepriming131","57709",2021-11-12,"Monolingual",0.16,0.84,0,"25 months","Spanish",2,"euro","CognatePriming_131_2021-11-12.csv"
"cognatepriming103","57336",2021-11-13,"Bilingual",0.68,0.32,0,"30 months","Catalan",2,"i","CognatePriming_103_2021-11-13.csv"
"cognatepriming132","57710",2021-11-13,"Monolingual",0.02,0.98,0,"25 months","Spanish",3,"euro","CognatePriming_132_2021-11-13.csv"
"cognatepriming104","57340",2021-11-13,"Monolingual",0.01,0.99,0,"30 months","Spanish",3,"euro","CognatePriming_104_2021-11-13_1.csv"
"cognatepriming95","57227",2021-11-13,"Monolingual",0.95,0.04,0,"30 months","Catalan",1,"ll","CognatePriming_095_2021-11-13_1.csv"
"cognatepriming98","57337",2021-11-13,"Bilingual",0.77,0.23,0,"30 months","Catalan",2,"ll","CognatePriming_098_2021-11-13.csv"
"cognatepriming117","57642",2021-11-16,"Bilingual",0.42,0.54,0,"25 months","Spanish",1,"euro","CognatePriming_117_2021-11-16.csv"
"cognatepriming101","57240",2021-11-20,"Monolingual",0.99,0.01,0,"30 months","Catalan",2,"ll","CognatePriming_101_2021-11-20.csv"
"cognatepriming105","57293",2021-11-27,"Bilingual",0.57,0.43,0,"30 months","Catalan",2,"ll","CognatePriming_105_2021-11-27.csv"
"cognatepriming135","57735",2021-12-01,"Monolingual",0.84,0.16,0,"25 months","Catalan",3,"ll","CognatePriming_135_2021-12-01.csv"
"cognatepriming136","57885",2021-12-03,"Bilingual",0.45,0.55,0,"25 months","Catalan",2,"ll","CognatePriming_136_2021-12-03.csv"
"cognatepriming82","57097",2021-12-03,"Monolingual",0,0.99,0,"30 months","Spanish",3,"euro","CognatePriming_082_2021-12-03_1.csv"
"cognatepriming137","57725",2021-12-04,"Bilingual",0.74,0.26,0,"25 months","Catalan",2,"ll","CognatePriming_137_2021-12-04_1.csv"
"cognatepriming138","57369",2021-12-11,"Bilingual",0.61,0.39,0,"30 months","Catalan",1,"ll","CognatePriming_138_2021-12-11.csv"
"cognatepriming140","57741",2021-12-11,"Monolingual",1,0,0,"25 months","Catalan",3,"ll","CognatePriming_140_2021-12-11_2.csv"
"cognatepriming141","57823",2021-12-18,"Bilingual",0.21,0.79,0,"25 months","Catalan",2,"ll","CognatePriming_141_2021-12-18.csv"
"cognatepriming142","58190",2021-12-21,"Bilingual",0.54,0.43,0,"21 months","Spanish",1,"euro","CognatePriming_142_2021-12-21.csv"
"cognatepriming143","57902",2022-01-04,"Bilingual",0.54,0.46,0,"25 months","Spanish",2,"euro","CognatePriming_143_2022-01-04.csv"
"cognatepriming144","58372",2022-01-07,"Bilingual",0.64,0.34,0,"25 months","Catalan",3,"ll","CognatePriming_144_2022-01-07.csv"
"cognatepriming145","58310",2022-01-12,"Bilingual",0.74,0.26,0,"21 months","Catalan",2,"ll","CognatePriming_145_2022-01-12_2.csv"
"cognatepriming110","57480",2022-01-22,"Bilingual",0.57,0.43,0,"30 months","Catalan",2,"ll","CognatePriming_110_2022-01-22_1.csv"
"cognatepriming119","57613",2022-01-26,"Monolingual",1,0,0,"30 months","Catalan",3,"ll","CognatePriming_119_2022-01-26.csv"
"cognatepriming108","57464",2022-01-26,"Bilingual",0.45,0.55,0,"30 months","Spanish",2,"euro","CognatePriming_108_2022-01-26_1.csv"
"cognatepriming113","57534",2022-01-26,"Monolingual",0.99,0.01,0,"30 months","Catalan",1,"ll","CognatePriming_113_2022-01-26.csv"
"cognatepriming146","57919",2022-01-27,"Monolingual",0.9,0.1,0,"25 months","Catalan",3,"ll","CognatePriming_146_2022-01-27.csv"
"cognatepriming147","57908",2022-01-28,"Monolingual",0.86,0.14,0,"25 months","Catalan",2,"ll","CognatePriming_147_2022-01-28.csv"
"cognatepriming115","57559",2022-01-29,"Monolingual",0.18,0.82,0,"30 months","Spanish",2,"euro","CognatePriming_115_2022-01-29.csv"
"cognatepriming148","58406",2022-01-31,"Monolingual",0.16,0.84,0,"21 months","Spanish",3,"euro","CognatePriming_148_2022-01-31.csv"
"cognatepriming109","57462",2022-01-31,"Bilingual",0.7,0.3,0,"25 months","Catalan",3,"ll","CognatePriming_109_2022-01-31.csv"
"cognatepriming149","58860",2022-02-03,"Bilingual",0.45,0.4,0.15,"21 months","Catalan",2,"ll","CognatePriming_149_2022-02-03.csv"
"cognatepriming150","58286",2022-02-04,"Bilingual",0.34,0.66,0,"21 months","Spanish",1,"euro","CognatePriming_150_2022-02-04.csv"
"cognatepriming151","58012",2022-02-04,"Monolingual",0.92,0.08,0,"25 months","Catalan",2,"ll","CognatePriming_151_2022-02-04.csv"
"cognatepriming152","58551",2022-02-05,"Bilingual",0.68,0.32,0,"21 months","Spanish",3,"euro","CognatePriming_152_2022-02-05.csv"
"cognatepriming153","57943",2022-02-05,"Monolingual",0.08,0.92,0,"25 months","Spanish",1,"euro","CognatePriming_153_2022-02-05.csv"
"cognatepriming154","57914",2022-02-08,"Monolingual",0.87,0.13,0,"25 months","Catalan",2,"ll","CognatePriming_154_2022-02-08_1.csv"
"cognatepriming155","58000",2022-02-08,"Bilingual",0.59,0.41,0,"25 months","Spanish",2,"euro","CognatePriming_155_2022-02-08.csv"
"cognatepriming156","58046",2022-02-09,"Bilingual",0.74,0.26,0,"25 months","Catalan",3,"ll","CognatePriming_156_2022-02-09_2.csv"
"cognatepriming157","58088",2022-02-10,"Monolingual",0.86,0.14,0,"25 months","Catalan",1,"ll","CognatePriming_157_2022-02-10.csv"
"cognatepriming158","58530",2022-02-12,"Bilingual",0.59,0.41,,"21 months","Catalan",2,"ll","CognatePriming_158_2022-02-12_1.csv"
"cognatepriming131","57709",2022-02-18,"Monolingual",0.17,0.83,0,"30 months","Spanish",2,"euro","CognatePriming_131_2022-02-18.csv"
"cognatepriming124","57707",2022-02-18,"Bilingual",0.23,0.77,0,"30 months","Spanish",2,"latin","CognatePriming_124_2022-02-18.csv"
"cognatepriming112","57537",2022-02-18,"Monolingual",1,0,0,"30 months","Catalan",2,"ll","CognatePriming_112_2022-02-18.csv"
"cognatepriming134","57592",2022-02-18,"Bilingual",0.52,0.48,0,"30 months","Spanish",1,"euro","CognatePriming_134_2022-02-18.csv"
"cognatepriming118","57552",2022-02-19,"Monolingual",1,0,0,"30 months","Catalan",3,"ll","CognatePriming_118_2022-02-19_2.csv"
"cognatepriming129","58049",2022-02-19,"Monolingual",1,0,0,"30 months","Catalan",3,"ll","CognatePriming_129_2022-02-19.csv"
