ParticipantID	TrialID	Start	End	FixNum
cognatepriming23	30	584.333333333333	700	3
cognatepriming23	30	726	1041.66666666667	4
cognatepriming23	25	1	266.666666666667	1
cognatepriming23	25	317.666666666667	558.333333333333	2
cognatepriming23	25	576	966.666666666667	3
cognatepriming23	25	976	1416.66666666667	4
cognatepriming23	1	59.3333333333333	325	1
cognatepriming23	1	467.666666666667	575	2
cognatepriming23	1	992.666666666667	1183.33333333333	3
cognatepriming23	1	1209.33333333333	1400	4
cognatepriming23	4	1	400	1
cognatepriming23	4	1076	1491.66666666667	2
cognatepriming23	4	1517.66666666667	1858.33333333333	3
cognatepriming23	29	1	325	1
cognatepriming23	29	367.666666666667	1016.66666666667	2
cognatepriming23	21	217.666666666667	316.666666666667	1
cognatepriming23	21	892.666666666667	1141.66666666667	2
cognatepriming23	21	1184.33333333333	1583.33333333333	3
cognatepriming23	21	1642.66666666667	2000	4
cognatepriming23	24	1	416.666666666667	1
cognatepriming23	24	459.333333333333	658.333333333333	2
cognatepriming23	24	1601	1975	3
cognatepriming26	21	784.333333333333	950	1
cognatepriming26	21	976	1258.33333333333	2
cognatepriming26	21	1292.66666666667	1825	3
cognatepriming26	21	1876	2000	4
cognatepriming26	27	1	283.333333333333	1
cognatepriming26	27	342.666666666667	616.666666666667	2
cognatepriming26	27	659.333333333333	1000	3
cognatepriming26	27	1851	2008.33333333333	4
cognatepriming26	11	1	266.666666666667	1
cognatepriming26	11	309.333333333333	541.666666666667	2
cognatepriming26	11	1251	1450	3
cognatepriming26	11	1501	1675	4
cognatepriming26	22	267.666666666667	366.666666666667	1
cognatepriming26	22	401	733.333333333333	2
cognatepriming26	22	751	1158.33333333333	3
cognatepriming26	22	1617.66666666667	1891.66666666667	4
cognatepriming26	29	367.666666666667	675	1
cognatepriming26	29	1167.66666666667	1325	2
cognatepriming26	29	1351	1941.66666666667	3
cognatepriming26	18	459.333333333333	725	1
cognatepriming26	18	1401	2008.33333333333	2
cognatepriming26	26	1	191.666666666667	1
cognatepriming26	26	251	633.333333333333	2
cognatepriming26	26	1634.33333333333	1791.66666666667	3
cognatepriming26	26	1842.66666666667	2000	4
cognatepriming26	4	209.333333333333	333.333333333333	1
cognatepriming26	4	384.333333333333	741.666666666667	2
cognatepriming26	4	1484.33333333333	1991.66666666667	3
cognatepriming27	19	992.666666666667	1375	1
cognatepriming27	19	1409.33333333333	1683.33333333333	2
cognatepriming27	22	351	525	1
cognatepriming27	22	576	741.666666666667	2
cognatepriming27	22	776	1208.33333333333	3
cognatepriming27	22	1226	1383.33333333333	4
cognatepriming27	1	317.666666666667	583.333333333333	1
cognatepriming27	1	609.333333333333	1250	2
cognatepriming27	26	234.333333333333	366.666666666667	1
cognatepriming27	26	401	841.666666666667	2
cognatepriming27	26	876	1125	3
cognatepriming29	11	251	575	1
cognatepriming29	11	634.333333333333	1550	2
cognatepriming29	20	426	1333.33333333333	1
cognatepriming29	2	317.666666666667	558.333333333333	1
cognatepriming29	2	584.333333333333	841.666666666667	2
cognatepriming29	2	1476	1691.66666666667	3
cognatepriming29	2	1742.66666666667	2000	4
cognatepriming29	30	292.666666666667	558.333333333333	1
cognatepriming29	30	601	1008.33333333333	2
cognatepriming29	30	1617.66666666667	1908.33333333333	3
cognatepriming29	1	267.666666666667	475	1
cognatepriming29	1	509.333333333333	1408.33333333333	2
cognatepriming29	10	351	591.666666666667	1
cognatepriming29	10	617.666666666667	975	2
cognatepriming29	10	1009.33333333333	1300	3
cognatepriming29	18	92.6666666666667	283.333333333333	1
cognatepriming29	18	351	766.666666666667	2
cognatepriming29	18	1409.33333333333	1700	3
cognatepriming29	3	209.333333333333	408.333333333333	1
cognatepriming29	3	426	916.666666666667	2
cognatepriming29	3	942.666666666667	1241.66666666667	3
cognatepriming29	3	1276	1725	4
cognatepriming29	19	217.666666666667	400	1
cognatepriming29	19	451	733.333333333333	2
cognatepriming29	19	1676	1933.33333333333	3
cognatepriming30	23	434.333333333333	1183.33333333333	1
cognatepriming30	23	1217.66666666667	1425	2
cognatepriming30	4	926	1233.33333333333	1
cognatepriming30	4	1259.33333333333	1475	2
cognatepriming30	4	1509.33333333333	1683.33333333333	3
cognatepriming30	4	1734.33333333333	2000	4
cognatepriming31	5	1	358.333333333333	1
cognatepriming31	5	417.666666666667	750	2
cognatepriming31	5	784.333333333333	1050	3
cognatepriming31	26	759.333333333333	1166.66666666667	1
cognatepriming31	26	1226	1950	2
cognatepriming31	13	809.333333333333	1583.33333333333	1
cognatepriming31	13	1642.66666666667	1800	2
cognatepriming31	10	667.666666666667	925	1
cognatepriming31	10	967.666666666667	1550	2
cognatepriming31	10	1567.66666666667	1825	3
cognatepriming31	10	1892.66666666667	2008.33333333333	4
cognatepriming31	17	551	700	1
cognatepriming31	17	751	1575	2
cognatepriming31	17	1892.66666666667	2000	3
cognatepriming32	7	1	325	1
cognatepriming32	7	367.666666666667	675	2
cognatepriming32	7	1476	1900	3
cognatepriming32	23	76	241.666666666667	1
cognatepriming32	23	284.333333333333	525	2
