"participant","age_group","lp","vocab_size_total","vocab_size_l1","vocab_size_conceptual","is_imputed"
"cognatepriming172","25 months","Monolingual",0.680731364275668,0.6043360433604336,0.8108108108108109,false
"cognatepriming173","25 months","Monolingual",0.43615494978479197,0.37283236994219654,0.42048517520215634,true
"cognatepriming174","25 months","Bilingual",0.860832137733142,0.7743979721166033,0.8763440860215054,true
"cognatepriming175","25 months","Bilingual",0.9422535211267605,0.7208672086720868,0.8629032258064516,true
"cognatepriming176","25 months","Monolingual",0.7366197183098592,0.8495575221238938,0.8463611859838275,false
"cognatepriming177","25 months","Bilingual",0.44929577464788734,0.41002949852507375,0.46756756756756757,true
"cognatepriming178","25 months","Bilingual",0.7313642756680732,0.7017543859649122,0.7891891891891892,false
"cognatepriming179","21 months","Bilingual",0.2859154929577465,0.33423180592991913,0.37735849056603776,false
"cognatepriming142","25 months","Bilingual",0.37746478873239436,0.38005390835579517,0.42048517520215634,false
"cognatepriming180","25 months","Monolingual",0.48523206751054854,0.39892183288409705,0.46756756756756757,true
"cognatepriming114","30 months","Monolingual",0.9349593495934959,0.8771929824561403,0.9349593495934959,true
"cognatepriming182","21 months","Monolingual",0.6848137535816619,0.6235632183908046,0.6848137535816619,true
"cognatepriming128","30 months","Bilingual",0.860832137733142,0.8641618497109826,0.9021329987452948,true
"cognatepriming183","25 months","Monolingual",0.369901547116737,0.7017543859649122,0.6621621621621622,false
"cognatepriming184","25 months","Bilingual",0.48535564853556484,0.6246418338108882,0.6513513513513514,true
"cognatepriming127","30 months","Monolingual",0.9436619718309859,0.9292035398230089,0.9703504043126685,false
"cognatepriming154","30 months","Monolingual",0.9511854951185496,0.9797687861271677,0.967741935483871,false
"cognatepriming143","30 months","Bilingual",0.9349593495934959,0.8641618497109826,0.9257142857142857,true
"cognatepriming185","21 months","Bilingual",0.34507042253521125,0.2719298245614035,0.3621621621621622,true
"cognatepriming159","25 months","Bilingual",0.7446197991391679,0.7610619469026548,0.8571428571428571,true
