"profile"	"language"	"ID"	"TimeBin"	"trialType"	"SamplesInAOI"	"SamplesTotal"	"Prop"	"Time"
"742"	"monolingual"	"spa"	"cognatepriming5"	7	"unrelated"	39	52	75	350
"743"	"monolingual"	"spa"	"cognatepriming5"	7	"noncognate"	6	18	33.3333333333333	350
"744"	"monolingual"	"spa"	"cognatepriming5"	7	"cognate"	19	31	61.2903225806452	350
"745"	"monolingual"	"spa"	"cognatepriming5"	8	"unrelated"	42	60	70	400
"746"	"monolingual"	"spa"	"cognatepriming5"	8	"noncognate"	11	23	47.8260869565217	400
"747"	"monolingual"	"spa"	"cognatepriming5"	8	"cognate"	27	39	69.2307692307692	400
"748"	"monolingual"	"spa"	"cognatepriming5"	9	"unrelated"	42	60	70	450
"749"	"monolingual"	"spa"	"cognatepriming5"	9	"noncognate"	12	24	50	450
"750"	"monolingual"	"spa"	"cognatepriming5"	9	"cognate"	30	42	71.4285714285714	450
"751"	"monolingual"	"spa"	"cognatepriming5"	10	"unrelated"	48	66	72.7272727272727	500
"752"	"monolingual"	"spa"	"cognatepriming5"	10	"noncognate"	12	24	50	500
"753"	"monolingual"	"spa"	"cognatepriming5"	10	"cognate"	30	42	71.4285714285714	500
"754"	"monolingual"	"spa"	"cognatepriming5"	11	"unrelated"	45	63	71.4285714285714	550
"755"	"monolingual"	"spa"	"cognatepriming5"	11	"noncognate"	12	24	50	550
"756"	"monolingual"	"spa"	"cognatepriming5"	11	"cognate"	30	42	71.4285714285714	550
"757"	"monolingual"	"spa"	"cognatepriming5"	12	"unrelated"	42	66	63.6363636363636	600
"758"	"monolingual"	"spa"	"cognatepriming5"	12	"noncognate"	12	24	50	600
"759"	"monolingual"	"spa"	"cognatepriming5"	12	"cognate"	30	42	71.4285714285714	600
"760"	"monolingual"	"spa"	"cognatepriming5"	13	"unrelated"	41	65	63.0769230769231	650
"761"	"monolingual"	"spa"	"cognatepriming5"	13	"noncognate"	12	24	50	650
"762"	"monolingual"	"spa"	"cognatepriming5"	13	"cognate"	30	42	71.4285714285714	650
"763"	"monolingual"	"spa"	"cognatepriming5"	14	"unrelated"	42	66	63.6363636363636	700
"764"	"monolingual"	"spa"	"cognatepriming5"	14	"noncognate"	12	24	50	700
"765"	"monolingual"	"spa"	"cognatepriming5"	14	"cognate"	28	40	70	700
"766"	"monolingual"	"spa"	"cognatepriming5"	15	"unrelated"	40	64	62.5	750
"767"	"monolingual"	"spa"	"cognatepriming5"	15	"noncognate"	12	24	50	750
"768"	"monolingual"	"spa"	"cognatepriming5"	15	"cognate"	24	40	60	750
"769"	"monolingual"	"spa"	"cognatepriming5"	16	"unrelated"	36	65	55.3846153846154	800
"770"	"monolingual"	"spa"	"cognatepriming5"	16	"noncognate"	12	24	50	800
"771"	"monolingual"	"spa"	"cognatepriming5"	16	"cognate"	24	42	57.1428571428571	800
"772"	"monolingual"	"spa"	"cognatepriming5"	17	"unrelated"	36	60	60	850
"773"	"monolingual"	"spa"	"cognatepriming5"	17	"noncognate"	12	24	50	850
"774"	"monolingual"	"spa"	"cognatepriming5"	17	"cognate"	24	42	57.1428571428571	850
"775"	"monolingual"	"spa"	"cognatepriming5"	18	"unrelated"	36	66	54.5454545454545	900
"776"	"monolingual"	"spa"	"cognatepriming5"	18	"noncognate"	12	24	50	900
"777"	"monolingual"	"spa"	"cognatepriming5"	18	"cognate"	24	42	57.1428571428571	900
"778"	"monolingual"	"spa"	"cognatepriming5"	19	"unrelated"	36	66	54.5454545454545	950
"779"	"monolingual"	"spa"	"cognatepriming5"	19	"noncognate"	12	24	50	950
